EXP_rej_stand,species.ID,TD_stand,R2_stand,Pi_stand,h_stand,gen_time_stand,elevation.index,is_amphibian,is_diurnal,SVL,is_arboreal,is_aridspinybush,is_evergreenrainforest,is_centralhighland,is_sambirano,is_drydeciuous
0.118236851,Mantidactylus_melanopleura_b12,0.215,0.298,-0.849,-0.646,-0.311768754,32.8,1,1,-0.8095238,0,0,1,1,0,0
0.129099378,Laliostoma_labrosum_2,0.265,-0.695,0.131,0.511,-0.311768754,385,1,1,-0.7714286,0,1,0,1,0,1
0.152634854,Pyxis_arachnoides_22,-0.359,0.061,-0.661,-0.318,5.882312457,145,0,1,-0.447619,0,1,0,0,0,0
0.156054539,Mantella_bernhardi_2,0.377,-0.639,-0.583,-0.362,-0.311768754,13,1,1,-0.9095238,0,0,1,0,0,0
0.172750646,Laliostoma_labrosum_1,0.894,-0.199,-0.849,-0.762,-0.311768754,248,1,1,-0.7714286,0,1,0,1,0,0
0.17818191,Furcifer_pardalis_13,-0.306,-0.131,-0.36,0.133,-0.311768754,258,0,1,0.19047619,1,0,1,0,0,0
0.211574124,Madascincus_melanopleura_10,-0.542,0.117,-0.762,-0.441,0.376462491,64.1,0,1,-0.7380952,0,0,1,1,0,0
0.233701494,Boophis_elenae_b182,-0.713,0.377,-0.711,-0.342,-0.311768754,45.4,1,0,-0.7809524,1,0,1,1,0,0
0.241747811,Mantidactylus_aerumnalis_1,0.134,-0.03,-0.646,-0.335,-0.311768754,159,1,1,-0.8714286,0,0,1,1,0,0
0.255828865,Madagascarophis_colubrinus_5,1.01,0.433,-0.793,-0.518,1.064693737,60.8,0,0,4.04761905,0,0,0,0,0,1
0.267294866,Boophis_albilabris_2,0.491,-0.357,-0.1,0.464,-0.311768754,49.3,1,0,-0.652381,0,0,1,1,0,0
0.287410658,Boophis_luteus_5,0.32,0.162,-0.125,0.36,-0.311768754,1.52,1,0,-0.8095238,1,0,1,0,0,0
0.324222556,Mantella_bernhardi_1,0.106,-0.549,-0.806,-0.676,-0.311768754,0,1,1,-0.9095238,0,0,1,0,0,0
0.337700136,Mantella_bernhardi_3,0.034,-0.063,-0.679,-0.408,-0.311768754,0,1,1,-0.9095238,0,0,0,1,0,0
0.156054539,Mantella_bernhardi_2,0.377,-0.638928068,-0.582921153,-0.362351463,-0.311768754,13,1,1,-0.9095238,0,0,1,0,0,0
0.361235612,Aglyptodactylus_madagascariensis_2,0.208,-0.379,-0.415,0.043,-0.311768754,32.4,1,0,-0.8047619,0,0,1,1,0,0
0.367873824,Boophis_tasymena_1,0.578,-0.605,-0.777,-0.487,-0.311768754,18.7,1,0,-0.8904762,1,0,1,1,0,0
0.45698678,Furcifer_viridis_3,0.266,-0.176,-0.668,-0.381,-0.311768754,401,0,1,-0.3380952,1,0,0,1,1,1
0.459802991,Leioheterodon_madagascariensis_3,0.341,-0.289,-0.036,0.526,1.064693737,630,0,1,6.14285714,0,0,1,1,1,1
0.644063641,Mimophis_mahfalensis_1,1.323,0.32,0.943,0.579,1.064693737,28.1,0,1,1.76190476,0,1,0,0,0,1
0.736193967,Mantella_baroni_3,0.183,-0.492,1.527,0.929,-0.311768754,21.3,1,1,-0.8571429,0,0,0,1,0,0
0.957266515,Mantella_baroni_2,0.473,-0.74,0.951,0.806,-0.311768754,61.7,1,1,-0.8571429,0,0,1,1,0,0
