"","200","220","201"
"elevation dispersion",0,0,0
"taxonomy",1,1,1
"activity pattern",0,0,0
"habitat use",0,0,0
"SVL",0,0,0
"generation time",0,1,0
"arid spiny bush",0,0,0
"evergreen rainforest",0,0,0
"central highland",0,0,0
"Sambirano rainforest",0,0,0
"dry deciuous",0,0,1
"PMP (Exact)",0.212381625709736,0.0402863346760755,0.0400631047740573
"PMP (MCMC)",0.212381625709736,0.0402863346760755,0.0400631047740573
