"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.145148533677089,0.0142338133291793,0.0634363269454412,1,1
"taxonomy",0.513655300398041,-0.180482685326158,0.220335379719173,0,2
"activity pattern",0.387496791831356,-0.115855569623444,0.181657289254411,0,3
"generation time",0.116753472378063,0.00129776573808643,0.0489425562249502,0.5339269,4
"humid ecoregion",0.127254610216409,0.00783555148733669,0.0548124728219618,0.84649473,5
"arid ecoregion",0.124805720795253,0.00351697210037063,0.0581946849861599,0.58831996,6
"habitat use",0.155884601406514,0.0153410537003025,0.0676448849630363,0.91327091,7
"SVL",0.139267437839338,-0.0107808431396635,0.0659850007207932,0.2673129,8
"(Intercept)",1,0.283519930209176,NA,NA,0
