"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.152658470732665,0.0165173260328511,0.0667987092726486,1,1
"taxonomy",0.39317369107979,-0.0976712044266297,0.14921507406101,0,2
"activity pattern",0.168656986234906,0.0204678183344691,0.0757865904969672,1,3
"generation time",0.116592062356031,0.00246370787740403,0.0486411565470723,0.53744305,4
"humid ecoregion",0.122734977963656,0.00605232318571322,0.0523198449402338,0.70464961,5
"arid ecoregion",0.127700658759236,0.00533743684431508,0.0605224182289718,0.65493573,6
"habitat use",0.113334971820678,0.00189646655017616,0.0450342996660492,0.68368386,7
"SVL",0.178231333751192,0.0246209409359556,0.0805660658939381,1,8
"(Intercept)",1,0.0468636336100757,NA,NA,0
