"","040","050","060"
"elevation dispersion",0,0,0
"taxonomy",1,1,1
"activity pattern",0,0,1
"generation time",0,1,0
"humid ecoregion",0,0,0
"arid ecoregion",0,0,0
"habitat use",0,0,0
"SVL",0,0,0
"PMP (Exact)",0.352511786804595,0.0668674033029604,0.0568588339165503
"PMP (MCMC)",0.352511786804595,0.0668674033029604,0.0568588339165503
