"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"taxonomy",0.861541290909158,0.515842932041932,0.284621913738012,1,2
"SVL",0.812425975492373,0.119620113278177,0.0752153372244878,1,8
"arid ecoregion",0.662217692791686,-0.319522828130452,0.285264818745161,0,6
"elevation dispersion",0.421754094509199,-0.000378789708547448,0.00054706964223446,0,1
"habitat use",0.234670440402894,-0.0540752640797747,0.133467275508528,0,7
"humid ecoregion",0.147457554473548,-0.0075925870478747,0.134329820799867,0.54709135,5
"activity pattern",0.146782016745215,0.00925767052530883,0.0872405034044092,0.78177414,3
"generation time",0.121365412344672,0.00368582818521325,0.0362127362217333,0.9051493,4
