"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.13762862332352,0.0122272060567724,0.0595790823295344,1,1
"taxonomy",0.911409679466067,-0.38985205764636,0.17431571758406,0,2
"activity pattern",0.190306081724327,0.0329239115343764,0.0998744129743276,1,3
"generation time",0.161149864224929,-0.0185761673134005,0.0671029607970119,0.01046508,4
"humid ecoregion",0.13971186376732,0.0128554540802814,0.0606892864896363,1,5
"arid ecoregion",0.126710842571991,-0.00831895880948933,0.0597593282098772,0.01727149,6
"habitat use",0.123041430266165,0.00566641502438678,0.0487984260747944,0.88278608,7
"SVL",0.117830372289778,0.0010793643959068,0.0513897964142743,0.29233659,8
"(Intercept)",1,0.371384629957423,NA,NA,0
