"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"taxonomy",0.39317369107979,-0.10637025146301,0.162504855377968,0,2
"SVL",0.178231333751192,0.00787660686424342,0.0257742882083987,1,8
"activity pattern",0.168656986234906,0.0226181181417674,0.0837485475692059,1,3
"elevation dispersion",0.152658470732665,5.0516619551089e-05,0.000204297292196013,1,1
"arid ecoregion",0.127700658759236,0.00617875045800031,0.0700622658888871,0.65493573,6
"humid ecoregion",0.122734977963656,0.00997340789749087,0.0862160097389006,0.70464961,5
"generation time",0.116592062356031,0.00153164077330355,0.0302392906689234,0.53744305,4
"habitat use",0.113334971820678,0.00207333367415773,0.0492342614643303,0.68368386,7
