"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.723877882951512,-0.000433033418609756,0.000335862559998805,0,1
"habitat use",0.478460621731651,-0.0812945926926875,0.103529404711251,0,7
"activity pattern",0.345444771318645,0.0616000731739854,0.108218380216754,1,3
"taxonomy",0.273376215320965,0.0480994697536049,0.105398885833512,0.99997864,2
"SVL",0.146426781547407,-0.00263526204096691,0.0136106379690091,0.21872069,8
"arid ecoregion",0.137683479171479,0.00727914299372835,0.0473782676705311,0.77696316,6
"humid ecoregion",0.123355236795507,-0.00364971020720396,0.0520003244661933,0.24680959,5
"generation time",0.121755762510398,0.000465179494518307,0.0194684583739491,0.56445543,4
