"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.723877882951512,-0.228541195214581,0.177257522378727,0,1
"taxonomy",0.273376215320965,0.0712892862178737,0.156214016032206,0.99997864,2
"activity pattern",0.345444771318645,0.0899775024020055,0.158071558428055,1,3
"generation time",0.121755762510398,0.00120778734777067,0.0505477089634059,0.56445543,4
"humid ecoregion",0.123355236795507,-0.00357498753411841,0.0509356911049582,0.24680959,5
"arid ecoregion",0.137683479171479,0.0101496242563635,0.0660615700485095,0.77696316,6
"habitat use",0.478460621731651,-0.12002598133519,0.152854181144494,0,7
"SVL",0.146426781547407,-0.0132961805379046,0.0686722978051939,0.21872069,8
"(Intercept)",1,0.137102426865224,NA,NA,0
