"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.421754094509199,-0.10734325285914,0.155031231347662,0,1
"taxonomy",0.861541290909158,0.410520606556791,0.226509182174053,1,2
"activity pattern",0.146782016745215,0.00726085771308302,0.0684233555628746,0.78177414,3
"generation time",0.121365412344672,0.00513852531120621,0.0504852782910293,0.9051493,4
"humid ecoregion",0.147457554473548,-0.00399336888136037,0.0706516135855248,0.54709135,5
"arid ecoregion",0.662217692791686,-0.239224196966068,0.213575498146006,0,6
"habitat use",0.234670440402894,-0.0428692371103642,0.105808827337552,0,7
"SVL",0.812425975492373,0.324071475413546,0.203771294308865,1,8
"(Intercept)",1,0.0347713993601042,NA,NA,0
