ID,Lon,Lat
Boophis_albilabris_2_EU717871_ZSM712_,48.39333333,-13.97555556
Boophis_albilabris_2_EU717872_ZSM714,48.39333333,-13.97555556
Boophis_albilabris_2_EU717873_ZSM719_,48.39333333,-13.97555556
Boophis_albilabris_2_HM364598_MRSA6183,49.2285,-17.8883
Boophis_albilabris_2_JX569993_FGMV_2002_1625,48.38333333,-18.9
Boophis_albilabris_2_JX569994_FGMV_2002_1630,48.43333333,-18.95
Boophis_albilabris_2_JX569997_ZCMV396,47.3467,-21.03333333
Boophis_albilabris_2_JX569998_ZCMV599,47.61666667,-21.41666667
Boophis_albilabris_2_JX569999_ZCMV2801,47.48888,-21.3165
Boophis_albilabris_2_JX570000_ZCMV2802,47.31666667,-21.01666667
Boophis_albilabris_2_JX570001_ZCMV2808,47.456,-21.2367
Boophis_albilabris_2_JX570002_ZCMV2890,47.3,-21.21111
Boophis_albilabris_2_JX570003_ZCMV2999,47.3,-21.21111
Boophis_albilabris_2_JX570004_ZCMV5889,47.3,-21.21111
Boophis_albilabris_2_JX570005_ZCMV5909,47.3,-21.21111
Boophis_albilabris_2_JX570006_FGMV_2002_205,47.3,-21.21111
Boophis_albilabris_2_JX570007_FGMV_2002_410,47.3,-21.21111
Boophis_albilabris_2_JX570008_FGMV_2002_424,47.3,-21.21111
Boophis_albilabris_2_JX570009_FGMV_2002_1768,47.3,-21.21111
Boophis_albilabris_2_JX570010_FGMV_2002_1785,47.3,-21.21111
Boophis_albilabris_2_JX570011_Tad2004_748_ZSM13072004,47.3,-21.21111
Boophis_albilabris_2_JX570012_Tad2004_754_ZSM13132004,47.3,-21.21111
Boophis_albilabris_2_JX570013_Tad2004_764_ZSM13232004,47.3,-21.21111
Boophis_albilabris_2_JX570014_Tad2004_772_ZSM13312004,47.3,-21.21111
Boophis_albilabris_2_JX570015_Tad2004_784_ZSM13432004,47.3,-21.21111
Boophis_albilabris_2_KF609549_JCR3114_T080253,1,-1
Boophis_elenae_b_182_GU974489_ZCMV2693,47.42621667,-21.24386667
Boophis_elenae_b_182_GU974513_ZCMV5088,47.52254722,-21.23531944
Boophis_elenae_b_182_GU974514_ZCMV5134,47.52254722,-21.23531944
Boophis_elenae_b_182_GU974522_ZCMV4502_ZCMV4543,47.52254722,-21.23531944
Boophis_elenae_b_182_GU974531_ZCMV4530,1,-1
Boophis_elenae_b_182_GU974534_ZCMV4543,1,-1
Boophis_elenae_b_182_GU974536_ZCMV4545,1,-1
Boophis_elenae_b_182_GU974542_ZCMV4229,1,-1
