species.ID,long,lat,elevation
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.41666667,-21.26388889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.429167,-21.288889,894
Boophis_elenae_b182,47.42621667,-21.24386667,1104
Boophis_elenae_b182,47.42621667,-21.24386667,1104
Boophis_elenae_b182,47.42621667,-21.24386667,1104
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.41238333,-21.26546667,1162
Boophis_elenae_b182,47.4,-21.25833333,1162
Boophis_elenae_b182,47.39683333,-21.23693333,1163
Boophis_elenae_b182,47.3964,-21.3201,1217
Boophis_elenae_b182,47.31888889,-20.82777778,1482
Boophis_luteus_14,47.18758,-22.79467,588
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.4336,-21.2123,1104
Boophis_luteus_14,47.35,-21.5,1113
Boophis_luteus_14,47.35,-21.5,1113
Boophis_luteus_3,47.5225472,-21.2353194,660
Boophis_luteus_3,47.5225472,-21.2353194,660
Boophis_luteus_3,47.416667,-21.25,894
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4336,-21.2123,1104
Boophis_luteus_3,47.4262167,-21.2438667,1104
Boophis_luteus_3,47.4262167,-21.2438667,1104
Boophis_luteus_3,47.4262167,-21.2438667,1104
