	Bayesian Skyline: D_bernieri_mt_1.log			
Time	Mean	Median	Upper	Lower
110428.2361024307	270211.46221777477	220622.62201703803	778014.0261577485	54762.35411832712
111727.39182128283	269794.948553426	220043.24660959616	782175.9866957524	54525.37679037283
113026.54754013495	269013.84386043914	219141.9992167528	780002.3848232707	53472.36721396364
114325.70325898708	268386.4227705271	218329.16213942802	782175.9866957524	52801.02624743765
115624.8589778392	267198.18057080003	217370.2647136294	780002.3848232707	52293.23299083621
116924.01469669133	266029.2202915914	216661.45904859257	774919.2463704668	51880.327222463755
118223.17041554346	264652.4644336882	215937.90270903156	768727.3058297	51709.31389883185
119522.32613439558	263753.2533939118	215431.50281552976	765917.1129626977	51318.43800970467
120821.48185324771	262721.1853375995	214609.11476628954	765758.0187704867	50764.99224014281
122120.63757209983	262260.1908164992	214361.3568393882	765917.1129626977	50300.100298239806
123419.79329095196	261416.98075699192	213739.70376519137	761645.9037483247	50198.164476252095
124718.94900980408	260694.16752071667	212955.3263499139	759735.8850595603	49206.614181165285
126018.10472865621	260305.57512944422	212828.17754210808	759489.5053304464	48882.436457877055
127317.26044750834	259252.36439828647	211501.37733723826	758629.8816751828	48631.26046256679
128616.41616636046	258495.30038010888	210801.91155356306	758218.8358211414	48288.80627441984
