"","Pi","num.Hap","Hap.div","TD","TD.pval","R2","R2.pval"
"D_bernieri_mt_1.fas",0.00405301785518677,9,0.836601307189542,-2.6270721167523,0.00861230793694541,0.0659832873822147,0.00100502512562814
"D_quadrilineatus_mt_1.fas",0,2,0.436363636363636,-2.41411207181484,0.0157736097580086,0.301511344577764,1
"L_madagascariensis_mt_3.fas",0.00190453230472517,8,0.852941176470588,-2.22353612527758,0.0261796702412665,0.0630854928788284,0
